,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
29,1198.35,1476.12,229.87,198.35,1398.35,1.65,1798.35,1021.33,1791.69,1198.35,955.22,882.05,606.62,801.65,401.65,1801.65,598.35,599.51,1584.34,1601.65,1201.65,80.44,503.19,1154.38,198.35,1374.84,232.45,1299.65,1601.65,1.65,,,,,,,,,,,,,,,,,,,,
30,817.62,1398.35,702.52,198.35,1.65,1401.65,1598.35,379.07,373.54,998.35,801.65,601.65,198.35,398.35,798.35,377.86,1440.86,1198.35,691.4,1287.41,999.32,1601.65,401.65,1801.65,1016.17,1201.65,1620.28,1001.65,443.93,1510.87,1758.7,,,,,,,,,,,,,,,,,,,
31,453.43,232.65,981.36,781.34,428.97,1001.65,1206.19,1462.69,131.39,1791.65,191.18,1287.18,1401.65,401.65,598.35,943.82,1401.65,1297.24,1601.65,1381.59,1198.35,601.65,1001.65,1801.65,1598.35,1792.87,252.51,601.65,986.94,336.41,579.48,1601.65,,,,,,,,,,,,,,,,,,
32,1011.04,1801.65,149.11,798.35,959.57,201.65,601.65,1601.65,263.88,398.35,1198.35,1527.64,1601.65,601.65,598.35,1737.18,1155.54,1.65,1.65,450.82,1401.65,398.35,798.35,801.65,801.65,1565.29,1460.45,1162.76,330.68,558.87,198.35,798.35,146.04,,,,,,,,,,,,,,,,,
33,512.57,798.35,1401.65,1398.35,593.2,1.65,1201.65,644.47,604.72,464.09,401.65,798.35,1211.75,1403.53,961.75,1.65,204.55,998.35,1.65,1301.11,801.65,1601.65,599.98,798.35,201.65,1798.35,1591.04,-1.65,1175.08,1677.26,255.29,1398.35,1801.65,598.35,,,,,,,,,,,,,,,,
34,1322.08,601.65,798.35,201.65,1801.65,601.65,1003.15,401.65,1165.68,1084.34,1063.43,1001.65,296.64,598.35,1175.96,612.12,307.86,1001.65,1363.91,716.85,998.35,784.07,601.65,1401.65,1.65,1201.65,456.65,801.65,1025.12,1411.93,401.65,1601.65,198.35,633.03,750.44,,,,,,,,,,,,,,,
35,1443.69,1590.15,522.79,486.4,1358.82,1495.37,695.19,48.46,1143.8,1601.65,598.35,657.85,798.35,398.35,401.65,1145.74,598.35,1401.65,998.35,747.77,1791.9,1610.82,801.65,1201.65,994.39,1401.65,962.74,126.77,1801.65,1588.42,1598.35,1398.35,1.65,450.97,1140.18,201.65,,,,,,,,,,,,,,
36,1410.84,1201.65,1.65,599.52,601.65,398.35,601.65,1309.58,1640.04,1051.41,945.78,401.65,1001.65,864.28,798.35,1198.35,1398.35,1568.29,598.35,1198.35,998.35,1601.52,801.65,398.35,1598.35,1312.46,1766.86,503.96,96.77,1409.36,401.65,1598.35,1091.26,-1.65,1798.35,1229.4,402.32,,,,,,,,,,,,,
37,907.43,1200.99,1004.56,401.65,935.82,1779.06,1402.0,1593.44,801.65,1201.65,198.35,586.46,1.65,1198.35,798.35,168.53,-1.65,1.65,1531.53,565.01,401.65,978.6,788.47,394.63,1401.65,637.25,1044.25,398.35,695.56,409.85,601.65,998.35,201.65,644.75,1598.35,1598.35,498.43,1475.86,,,,,,,,,,,,
38,1731.32,-1.65,1367.08,1790.8,198.35,401.65,598.35,1200.48,1401.65,1183.02,998.35,937.28,1398.35,1201.65,402.23,319.17,1601.65,1176.24,1401.65,601.65,1309.69,1201.65,601.65,711.85,1055.9,198.35,1432.53,801.65,1401.65,1001.65,1801.65,998.35,401.65,201.65,1054.74,453.25,401.65,1212.36,1018.46,,,,,,,,,,,
39,389.45,198.35,1398.35,701.12,1201.65,1798.35,1601.65,398.35,801.65,1.65,1201.65,185.32,1282.48,1525.73,735.92,401.65,680.89,1789.88,495.86,1398.35,1024.54,901.37,1150.0,649.26,1401.65,957.8,559.43,1184.09,339.27,1398.35,574.74,-1.65,1.65,398.35,839.52,1668.84,398.35,1657.18,798.35,1001.65,,,,,,,,,,
40,1401.65,201.46,598.35,1001.65,598.35,773.26,713.8,1001.65,198.35,242.73,140.28,401.65,237.33,1079.67,798.35,1038.18,1402.32,1201.65,1242.63,795.27,401.65,1598.35,1798.35,1257.11,927.18,1582.12,1198.35,1354.6,1198.35,740.59,1598.35,633.03,1794.09,28.1,-1.65,1398.35,1601.65,686.24,409.85,1198.35,201.65,,,,,,,,,
41,1329.35,556.73,798.35,1401.65,1798.35,398.35,1598.35,406.85,412.95,607.35,1801.65,798.35,1001.65,557.16,801.65,811.41,793.31,1156.9,1801.65,1151.7,385.92,1205.96,1375.75,598.35,998.35,801.65,801.65,1801.65,1383.13,5.5,1598.35,103.41,1168.21,987.47,373.38,1388.35,201.65,1598.35,189.06,1198.35,1601.65,198.35,,,,,,,,
42,398.35,1458.84,1001.65,512.78,288.54,1137.42,1476.25,1.65,398.35,201.65,1411.44,611.41,514.92,1400.81,829.25,1015.39,245.5,1598.35,1398.35,555.29,1021.86,1001.65,1401.65,877.52,1201.65,1412.38,398.35,798.35,-1.65,1209.85,1598.35,143.76,198.35,198.35,1598.35,1198.35,696.14,801.65,1137.81,1080.95,1778.97,1598.35,1.65,,,,,,,
43,1398.35,1273.02,1001.65,798.35,201.65,1801.65,601.65,1095.4,601.65,1514.08,433.07,1690.09,798.35,426.99,998.73,598.35,1.65,207.93,1.65,1398.35,1174.26,1362.45,198.35,1601.65,1801.65,998.35,201.65,548.96,1201.65,1183.29,765.69,798.35,398.35,455.19,1198.35,198.35,1001.65,998.35,1777.4,737.37,798.35,956.98,1401.65,7.19,,,,,,
44,1801.65,598.35,527.63,998.35,798.35,1598.35,1609.85,1198.35,401.65,201.65,916.55,1726.76,798.35,1401.65,511.78,1769.92,201.65,423.28,1598.35,601.65,475.62,611.09,1001.65,1398.35,1182.11,958.77,737.71,1201.65,401.65,273.42,1598.35,208.24,1401.65,1398.35,960.35,401.65,200.89,598.35,1707.55,1169.33,998.35,1324.61,110.53,1201.65,801.65,,,,,
45,1401.65,1029.09,1398.35,1198.35,1200.01,1188.63,1372.49,-1.65,1273.41,1459.8,801.65,194.83,296.88,995.49,-1.65,413.03,1632.58,220.38,601.65,1201.65,1128.23,1420.19,398.35,467.4,959.65,398.35,1798.35,546.99,759.6,959.3,775.48,658.93,457.12,1378.82,1611.4,1601.65,1798.35,1020.68,1218.93,1157.95,567.39,1769.63,-1.65,1226.45,994.11,792.57,,,,
46,198.35,1201.65,998.35,656.96,274.59,801.65,1677.74,798.35,998.35,601.65,998.35,785.2,1462.21,1598.35,769.66,1029.78,1243.13,379.19,950.42,1201.65,601.65,201.65,1401.65,1212.16,1001.65,1398.35,198.35,1615.14,773.92,340.58,1598.35,1355.75,77.0,486.09,1398.35,52.92,398.35,998.35,488.52,1598.35,1359.84,1798.35,29.05,1160.72,598.35,1001.65,601.65,,,
47,1549.01,603.68,801.65,373.3,1086.03,398.35,401.65,1598.35,856.66,401.65,742.11,912.46,1401.65,95.1,1398.35,344.57,1490.32,1185.37,1401.65,1001.65,1.65,1382.35,801.65,9.85,971.18,687.28,374.65,1601.65,-1.65,558.67,601.65,198.35,1754.01,1787.62,1200.0,1801.65,628.27,1201.66,1798.35,1001.65,1751.54,601.65,186.68,1317.18,990.15,1801.65,1398.35,798.35,,
48,672.32,401.65,401.65,998.35,1245.33,1.65,201.65,716.54,1598.35,1798.35,598.35,-1.65,201.65,1401.65,1472.49,1201.65,1398.35,1483.11,201.81,954.03,203.45,1262.84,801.65,719.44,456.53,-1.65,551.89,1384.45,981.84,1.65,-1.65,1601.65,201.65,398.35,799.89,769.89,1212.02,1198.35,651.39,598.35,998.35,1479.34,998.35,998.35,798.35,-1.65,1001.65,956.93,971.53,
49,866.52,798.35,801.65,1801.65,1598.35,1044.75,598.35,617.15,523.1,679.53,198.35,1201.65,598.35,368.52,936.79,998.35,1.65,801.65,1054.15,598.35,1405.39,1398.35,237.33,798.35,1598.35,1216.47,1001.65,1000.46,236.17,783.73,1263.49,398.35,801.65,1598.35,1.65,1212.56,1679.88,-1.65,1025.53,76.81,1801.65,76.73,5.25,1.65,1001.65,1381.65,110.38,1398.35,1201.65,398.35
